"","p10","p25","p50","p75","p90","metric","comid","result_type"
"DS_Dur_WS",100.5,121.75,163.5,181.75,196,"DS_Dur_WS",2823750,"observed"
"DS_Tim",284.5,292.75,302,314.25,328.5,"DS_Tim",2823750,"observed"
"DS_Mag_50",171.8003,261.5400125,355.7482,393.3813625,465.5,"DS_Mag_50",2823750,"observed"
"DS_Mag_90",461.2,666.7,863.748805,1125.55,1531.85,"DS_Mag_90",2823750,"observed"
"FA_Dur",2,2,2,3.5,4,"FA_Dur",2823750,"observed"
"FA_Mag",437.00627197451,572.47447574861,884.903020996305,1318.1503927252,2728.98392313918,"FA_Mag",2823750,"observed"
"FA_Tim",1,3,7,17.5,36,"FA_Tim",2823750,"observed"
"SP_ROC",0.107711344158138,0.14195589588024,0.179738396229461,0.249172253331507,0.289295779571407,"SP_ROC",2823750,"observed"
"SP_Dur",43,52,60.5,68.5,75,"SP_Dur",2823750,"observed"
"SP_Mag",4743,5908.5,9433,16048.75,20415.5,"SP_Mag",2823750,"observed"
"SP_Tim",224,232,244,253.5,264.5,"SP_Tim",2823750,"observed"
"Wet_BFL_Dur",92,110.25,138,183.25,209.5,"Wet_BFL_Dur",2823750,"observed"
"Wet_BFL_Mag_10",413.15,634.65,954.65,1250.6,1558.8,"Wet_BFL_Mag_10",2823750,"observed"
"Wet_BFL_Mag_50",1483.5,2309.625,3196,4497,5588.25,"Wet_BFL_Mag_50",2823750,"observed"
"Wet_Tim",44.5,75.75,94.5,131.25,138.5,"Wet_Tim",2823750,"observed"
"Peak_Tim_10",91.3,91.75,104,127,146.8,"Peak_Tim_10",2823750,"observed"
"Peak_Tim_2",117.85,170.875,213.25,235.875,248.8,"Peak_Tim_2",2823750,"observed"
"Peak_Tim_5",80.35,116.875,149,185.75,227.3,"Peak_Tim_5",2823750,"observed"
"Peak_Dur_10",1,1,1.5,2.25,2.7,"Peak_Dur_10",2823750,"observed"
"Peak_Dur_2",1,2.5,5,17.25,23.4,"Peak_Dur_2",2823750,"observed"
"Peak_Dur_5",1,1,1.5,2.5,5.2,"Peak_Dur_5",2823750,"observed"
"Peak_10",42849,42849,42849,42849,42849,"Peak_10",2823750,"observed"
"Peak_2",14749,14749,14749,14749,14749,"Peak_2",2823750,"observed"
"Peak_5",29668,29668,29668,29668,29668,"Peak_5",2823750,"observed"
"Peak_Fre_10",1,1,1,1.25,1.7,"Peak_Fre_10",2823750,"observed"
"Peak_Fre_2",1,2,3.5,5.75,9,"Peak_Fre_2",2823750,"observed"
"Peak_Fre_5",1,1,1,2,2.6,"Peak_Fre_5",2823750,"observed"
